0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:28 +0100] "POST /essentials/rest/plugins/autosetup HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:28 +0100] "GET /essentials/rest/plugins HTTP/1.1" 200 45380
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:28 +0100] "GET /essentials/rest/project/ping HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:29 +0100] "GET /essentials/rest/project/status HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:29 +0100] "GET /essentials/pages/installed-features.html HTTP/1.1" 200 1078
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:29 +0100] "GET /essentials/rest/project/settings HTTP/1.1" 200 778
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:29 +0100] "GET /essentials/directives/essentials-installed-feature.html HTTP/1.1" 200 1924
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:29 +0100] "GET /essentials/directives/essentials-feature-footer.html HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:29 +0100] "GET /essentials/feature/images/blog-plugin-icon.svg HTTP/1.1" 200 1364
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:29 +0100] "GET /essentials/feature/bloomreachCoreFeatures/kitchensink.svg HTTP/1.1" 200 8196
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:29 +0100] "GET /essentials/feature/images/banner-plugin-icon.svg HTTP/1.1" 200 1597
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:29 +0100] "GET /essentials/feature/images/content-blocks-plugin-icon.svg HTTP/1.1" 200 2059
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:29 +0100] "GET /essentials/feature/enterpriseProject/generic-package.svg HTTP/1.1" 200 1145
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:29 +0100] "GET /essentials/feature/crisp/generic-package.svg HTTP/1.1" 200 1145
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:29 +0100] "GET /essentials/feature/images/documents-wizard-plugin-icon.svg HTTP/1.1" 200 1186
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:29 +0100] "GET /essentials/feature/skeleton/generic-package.svg HTTP/1.1" 200 1145
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:29 +0100] "GET /essentials/feature/images/events-plugin-icon.svg HTTP/1.1" 200 1531
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:29 +0100] "GET /essentials/feature/images/list-plugin-icon.svg HTTP/1.1" 200 913
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:29 +0100] "GET /essentials/feature/luceneIndexExporter/index-exporter-icon.svg HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:29 +0100] "GET /essentials/feature/images/images-plugin-icon.svg HTTP/1.1" 200 719
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:29 +0100] "GET /essentials/feature/images/menu-plugin-icon.svg HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:29 +0100] "GET /essentials/feature/images/openstreetmap-plugin-icon.svg HTTP/1.1" 200 1504
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:29 +0100] "GET /essentials/feature/images/projects-plugin-icon.svg HTTP/1.1" 200 1338
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:35:29 +0100] "GET /essentials/feature/images/relevance-plugin-icon.svg HTTP/1.1" 200 2980
